학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자
B000008367,신구중학교,중학교,1988-04-25,공립,본교,운영,서울특별시 강남구 신사동 621,서울특별시 강남구 압구정로36길 17,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2020-09-22,37.52700477,127.0322082,2021-03-25
B000001968,서울구로남초등학교,초등학교,1964-03-11,공립,본교,운영,서울특별시 구로구 구로동 253,서울특별시 구로구 디지털로27길 76,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2020-09-22,37.48548314,126.890983,2021-03-25
B000002119,서울삼광초등학교,초등학교,1945-11-01,공립,본교,운영,서울특별시 용산구 후암동 190-2,서울특별시 용산구 두텁바위로1나길 19,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2020-09-22,37.54732018,126.97673470000001,2021-03-25
B000008210,한천중학교,중학교,1991-10-30,공립,본교,운영,서울특별시 노원구 공릉동 481,서울특별시 노원구 공릉로 265,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2020-09-22,37.63124532,127.0724683,2021-03-25
B000011305,해성국제컨벤션고등학교,고등학교,1961-03-03,사립,본교,운영,서울특별시 동대문구 전농동 90-3,서울특별시 동대문구 전농로20길 31,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2020-09-22,37.58174873,127.057254,2021-03-25
B000002121,서울신용산초등학교,초등학교,1968-09-25,공립,본교,운영,서울특별시 용산구 이촌동 301-75,서울특별시 용산구 이촌로 255,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2020-09-22,37.52001219,126.97589750000002,2021-03-25
B000008403,난우중학교,중학교,1984-04-23,공립,본교,운영,서울특별시 관악구 신림동 652-156,서울특별시 관악구 난곡로16길 32,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2020-09-22,37.46671212,126.92279509999999,2021-03-25
B000008381,동작중학교,중학교,1984-12-08,공립,본교,운영,서울특별시 동작구 동작동 59-1,서울특별시 동작구 동작대로39가길 83,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2020-09-22,37.49510026,126.9773009,2021-03-25
B000011978,용화여자고등학교,고등학교,1987-04-22,사립,본교,운영,서울특별시 노원구 상계동 696,서울특별시 노원구 동일로 1461,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2020-09-22,37.65877418,127.05838059999999,2021-03-25
B000008384,사당중학교,중학교,1984-03-05,공립,본교,운영,서울특별시 동작구 사당동 209-16,서울특별시 동작구 사당로9가길 58,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2020-09-22,37.4875706,126.96893689999999,2021-03-25
B000008270,오금중학교,중학교,1987-03-01,공립,본교,운영,서울특별시 송파구 오금동 34,서울특별시 송파구 오금로35길 20,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2020-09-22,37.50495636,127.12843729999999,2021-03-25
B000011357,송파공업고등학교,고등학교,1990-11-10,공립,본교,운영,서울특별시 송파구 거여동 354,서울특별시 송파구 양산로 21,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2020-09-22,37.49158299,127.1426534,2021-03-25
B000011929,배문고등학교,고등학교,1955-12-31,사립,본교,운영,서울특별시 용산구 서계동 259-3,서울특별시 용산구 효창원로 258,7010000,서울특별시교육청,7061000,서울특별시중부교육지원청,2013-11-29,2020-09-22,37.54999783,126.9646239,2021-03-25
B000001880,금성초등학교,초등학교,1965-06-26,사립,본교,운영,서울특별시 중랑구 신내동 651,서울특별시 중랑구 신내로21길 55,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2020-09-22,37.61501531,127.08966809999998,2021-03-25
B000002341,서울구암초등학교,초등학교,1977-02-11,공립,본교,운영,서울특별시 관악구 봉천동 482-1,서울특별시 관악구 구암길 1,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2020-09-22,37.48939905,126.9469801,2021-03-25
B000002193,서울신서초등학교,초등학교,1987-10-22,공립,본교,운영,서울특별시 양천구 신정동 312-1,서울특별시 양천구 목동서로10길 35,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2020-09-22,37.52024636,126.86241559999999,2021-03-25
B000002061,서울동일초등학교,초등학교,1989-04-25,공립,본교,운영,서울특별시 노원구 상계동 655,서울특별시 노원구 한글비석로 566,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2020-09-22,37.66527683,127.054549,2021-03-25
B000002212,서울장수초등학교,초등학교,2006-03-01,공립,본교,운영,서울특별시 양천구 신정동 1288-2,서울특별시 양천구 신정로13가길 30,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2020-09-22,37.512868,126.84542659999998,2021-03-25
B000008355,언북중학교,중학교,1982-07-16,공립,본교,운영,서울특별시 강남구 논현동 69,서울특별시 강남구 도산대로38길 27,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2020-09-22,37.51912039,127.0332284,2021-03-25
B000008264,석촌중학교,중학교,1982-01-07,공립,본교,운영,서울특별시 송파구 가락동 43,서울특별시 송파구 송이로15길 13,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2020-09-22,37.50074981,127.1213104,2021-03-25
B000002142,서울남천초등학교,초등학교,1984-05-03,공립,본교,운영,서울특별시 송파구 마천동 53,서울특별시 송파구 성내천로 207,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2020-09-22,37.50126873,127.15079509999998,2021-03-25
B000013476,고척고등학교,고등학교,1985-03-04,공립,본교,운영,서울특별시 구로구 고척동 287-29,서울특별시 구로구 중앙로15길 162,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2020-09-22,37.50897724,126.85130600000001,2021-03-25
B000012059,동덕여자고등학교,고등학교,1910-04-28,사립,본교,운영,서울특별시 서초구 방배동 산82,서울특별시 서초구 효령로2길 123-5,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2020-09-22,37.47583666,126.992496,2021-03-25
B000008160,신도림중학교,중학교,1984-05-06,공립,본교,운영,서울특별시 구로구 신도림동 311-1,서울특별시 구로구 경인로63길 74,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2020-09-22,37.5104579,126.8854304,2021-03-25
B000008097,휘경여자중학교,중학교,1970-05-19,사립,본교,운영,서울특별시 동대문구 휘경동 43-7,서울특별시 동대문구 한천로 247,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2020-09-22,37.58238274,127.0675665,2021-03-25
B000012012,대일고등학교,고등학교,1972-09-26,사립,본교,운영,서울특별시 강서구 등촌동 산88,서울특별시 강서구 등촌로 105,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2020-09-22,37.53918801,126.86285579999999,2021-03-25
B000002335,서울봉천초등학교,초등학교,1967-09-15,공립,본교,운영,서울특별시 관악구 봉천동 28-6,서울특별시 관악구 행운1라길 17,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2020-09-22,37.48309001,126.95832309999999,2021-03-25
B000008206,하계중학교,중학교,1983-03-04,공립,본교,운영,서울특별시 노원구 하계동 231-4,서울특별시 노원구 노원로 261-8,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2020-09-22,37.64086819,127.07160379999999,2021-03-25
B000012023,경인고등학교,고등학교,2002-05-16,공립,본교,운영,서울특별시 구로구 고척동 66-28,서울특별시 구로구 경인로46길 31,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2020-09-22,37.49641705,126.8658108,2021-03-25
B000001860,서울면남초등학교,초등학교,1983-10-19,공립,본교,운영,서울특별시 중랑구 면목동 583-15,서울특별시 중랑구 면목로30나길 38,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2013-11-29,2020-09-22,37.57719558,127.0882508,2021-03-25
B000008158,동도중학교,중학교,1955-04-09,사립,본교,운영,서울특별시 마포구 염리동 150,서울특별시 마포구 백범로 139,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2020-09-22,37.54646521,126.94682279999999,2021-03-25
B000011356,대진디자인고등학교,고등학교,1995-03-02,사립,본교,운영,서울특별시 강남구 수서동 733,서울특별시 강남구 광평로39길 93,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2013-11-29,2020-09-22,37.49070951,127.09610049999999,2021-03-25
B000013473,한가람고등학교,고등학교,1997-10-08,사립,본교,운영,서울특별시 양천구 목동 909-12,서울특별시 양천구 목동서로 15,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2020-09-22,37.53775546,126.8838877,2021-03-25
B000012044,인헌고등학교,고등학교,1985-03-02,공립,본교,운영,서울특별시 관악구 봉천동 174-5,서울특별시 관악구 인헌9길 74,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2020-09-22,37.47164063,126.9697945,2021-03-25
B000008136,홍은중학교,중학교,1984-05-18,공립,본교,운영,서울특별시 서대문구 홍은동 183,서울특별시 서대문구 연희로41길 94,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2013-11-29,2020-09-22,37.59231525,126.93533459999999,2021-03-25
B000008397,봉원중학교,중학교,1969-11-11,공립,본교,운영,서울특별시 관악구 봉천동 25-19,서울특별시 관악구 관악로24가길 15,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2020-09-22,37.48424624,126.95823100000001,2021-03-25
B000008314,금옥중학교,중학교,1981-05-02,공립,본교,운영,서울특별시 양천구 신정동 729,서울특별시 양천구 신정로 213,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2020-09-22,37.51073114,126.8447953,2021-03-25
B000008329,방원중학교,중학교,1994-05-12,공립,본교,운영,서울특별시 강서구 방화동 808,서울특별시 강서구 금낭화로 268,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2020-09-22,37.57577439,126.8088127,2021-03-25
B000008165,고척중학교,중학교,1985-03-05,공립,본교,운영,서울특별시 구로구 고척동 76-2,서울특별시 구로구 중앙로3길 20,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2020-09-22,37.50011845,126.861981,2021-03-25
B000002140,서울영풍초등학교,초등학교,1982-10-10,공립,본교,운영,서울특별시 송파구 거여동 12,서울특별시 송파구 오금로57길 15,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2020-09-22,37.49600417,127.14295359999998,2021-03-25
B000002151,서울거여초등학교,초등학교,1967-11-23,공립,본교,운영,서울특별시 송파구 오금동 108,서울특별시 송파구 마천로25길 18,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2020-09-22,37.50508433,127.1409011,2021-03-25
B000002321,서울보라매초등학교,초등학교,2005-05-06,공립,본교,운영,서울특별시 동작구 신대방동 488-1,서울특별시 동작구 여의대방로16길 30,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2020-09-22,37.49567494,126.916097,2021-03-25
B000012039,동작고등학교,고등학교,1992-03-02,공립,본교,운영,서울특별시 동작구 사당동 236-23,서울특별시 동작구 솔밭로 51,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2013-11-29,2020-09-22,37.48190069,126.96531940000001,2021-03-25
B000002040,서울신계초등학교,초등학교,1982-10-21,공립,본교,운영,서울특별시 노원구 월계동 602,서울특별시 노원구 초안산로 29,7010000,서울특별시교육청,7051000,서울특별시북부교육지원청,2013-11-29,2020-09-22,37.63000893,127.05321529999999,2021-03-25
B000002128,서울문정초등학교,초등학교,1985-04-17,공립,본교,운영,서울특별시 송파구 문정동 12,서울특별시 송파구 문정로5길 20,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2013-11-29,2020-09-22,37.48889497,127.128721,2021-03-25
B000002209,서울목동초등학교,초등학교,1974-07-01,공립,본교,운영,서울특별시 양천구 신정동 86-2,서울특별시 양천구 목동동로12길 12,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2013-11-29,2020-09-22,37.52248219,126.87208190000001,2021-03-25
