행정동,lib_cnt,adm_nm,cent_lat,cent_lon,최소거리
쌍문3동,0.0,서울특별시 도봉구 쌍문3동,37.64768718428671,127.03058634533551,683.2190557940321
쌍문4동,0.0,서울특별시 도봉구 쌍문4동,37.65555057772183,127.0304076769824,697.0010796394264
방학2동,0.0,서울특별시 도봉구 방학2동,37.669145082981906,127.03226016855422,874.5242308935316
창1동,0.0,서울특별시 도봉구 창1동,37.647135180026936,127.0435641181562,367.52057778604103
창3동,0.0,서울특별시 도봉구 창3동,37.63736038329231,127.0416274747978,745.3388482256065
창5동,0.0,서울특별시 도봉구 창5동,37.65535977488351,127.0427663401336,716.0546053611478
도봉2동,0.0,서울특별시 도봉구 도봉2동,37.681188021098535,127.04779209738659,471.5789250797314
월계1동,0.0,서울특별시 노원구 월계1동,37.62180521058927,127.05860352436301,787.3881054014252
월계3동,0.0,서울특별시 노원구 월계3동,37.624655457954525,127.0648918340802,889.564542465078
공릉2동,0.0,서울특별시 노원구 공릉2동,37.6316136118291,127.09422790807051,1829.1191412791209
하계1동,0.0,서울특별시 노원구 하계1동,37.638617847353046,127.07480878582659,627.7090129142452
하계2동,0.0,서울특별시 노원구 하계2동,37.63483892237538,127.06482290181151,568.4091501258138
중계1동,0.0,서울특별시 노원구 중계1동,37.650017126870715,127.07350089744159,921.7496223585127
상계2동,0.0,서울특별시 노원구 상계2동,37.65648818240498,127.06726546316271,546.3024758117874
상계5동,0.0,서울특별시 노원구 상계5동,37.663220720182956,127.0695988032972,470.87126425476373
상계8동,0.0,서울특별시 노원구 상계8동,37.66629012613881,127.05365095526409,425.84911942056436
상계9동,0.0,서울특별시 노원구 상계9동,37.668070131166814,127.0624959134975,809.8522985834936
상계3·4동,0.0,서울특별시 노원구 상계3·4동,37.6751455552766,127.08326687223129,2002.23833821414
상계6·7동,0.0,서울특별시 노원구 상계6·7동,37.64874986816113,127.0600921510583,1239.4491204247317
공릉1동,0.0,서울특별시 노원구 공릉1동,37.624118989113285,127.07277010958009,1342.7618529272374
녹번동,0.0,서울특별시 은평구 녹번동,37.60541498540631,126.93504974105369,928.4067609851506
갈현1동,0.0,서울특별시 은평구 갈현1동,37.62535252233457,126.91488711024749,1360.7640661089015
갈현2동,0.0,서울특별시 은평구 갈현2동,37.61828359872022,126.9121234979595,930.0098143383937
대조동,0.0,서울특별시 은평구 대조동,37.61227983873354,126.9230950397155,544.4651641875054
응암1동,0.0,서울특별시 은평구 응암1동,37.59825533469795,126.9269001265505,1483.9127252345147
응암2동,0.0,서울특별시 은평구 응암2동,37.59188520223597,126.9230242356753,697.5718660030105
신사1동,0.0,서울특별시 은평구 신사1동,37.5989936906601,126.90884284536992,852.4490362906022
수색동,0.0,서울특별시 은평구 수색동,37.58577058425839,126.8949008342881,1156.6107200755855
불광2동,0.0,서울특별시 은평구 불광2동,37.62437284018544,126.9286503002471,576.3118798857018
