lib_name,date,행정동,ylabel
강남구립역삼도서관,201911,역삼1동,6594.0
강남구립역삼도서관,201912,역삼1동,-1006.0
강남구립역삼도서관,202001,역삼1동,3990.0
강남구립역삼도서관,202002,역삼1동,3126.0
강남구립역삼도서관,202003,역삼1동,5168.0
강남구립역삼도서관,202004,역삼1동,23.0
강남구립역삼도서관,202005,역삼1동,-2.0
강남구립역삼도서관,202006,역삼1동,8.0
강남구립역삼도서관,202007,역삼1동,2352.0
강남구립역삼도서관,202008,역삼1동,1076.0
강남구립역삼도서관,202009,역삼1동,1446.0
강남구립역삼도서관,202010,역삼1동,3747.0
강남구립역삼도서관,202011,역삼1동,3628.0
강남구립역삼도서관,202012,역삼1동,1615.0
강남구립역삼도서관,202101,역삼1동,925.0
강남구립역삼도서관,202102,역삼1동,0.0
강남구립역삼도서관,202103,역삼1동,0.0
강남구립역삼도서관,202104,역삼1동,0.0
강남구립역삼도서관,202105,역삼1동,15341.0
강남구립역삼도서관,202106,역삼1동,3537.0
강남구립역삼도서관,202107,역삼1동,4703.0
강남구립역삼푸른솔도서관,201902,역삼1동,4258.0
강남구립역삼푸른솔도서관,201903,역삼1동,4964.0
강남구립역삼푸른솔도서관,201904,역삼1동,4933.0
강남구립역삼푸른솔도서관,201905,역삼1동,3685.0
강남구립역삼푸른솔도서관,201906,역삼1동,4076.0
강남구립역삼푸른솔도서관,201907,역삼1동,0.0
강남구립역삼푸른솔도서관,201908,역삼1동,0.0
강남구립역삼푸른솔도서관,201909,역삼1동,1479.0
강남구립역삼푸른솔도서관,201910,역삼1동,102206.0
강남구립역삼푸른솔도서관,201911,역삼1동,4886.0
강남구립역삼푸른솔도서관,201912,역삼1동,3780.0
강남구립역삼푸른솔도서관,202001,역삼1동,3653.0
강남구립역삼푸른솔도서관,202002,역삼1동,854.0
강남구립역삼푸른솔도서관,202003,역삼1동,1298.0
강남구립역삼푸른솔도서관,202004,역삼1동,3604.0
강남구립역삼푸른솔도서관,202005,역삼1동,2849.0
강남구립역삼푸른솔도서관,202006,역삼1동,1527.0
강남구립역삼푸른솔도서관,202007,역삼1동,4013.0
강남구립역삼푸른솔도서관,202008,역삼1동,1135.0
강남구립역삼푸른솔도서관,202009,역삼1동,2796.0
강남구립역삼푸른솔도서관,202010,역삼1동,1840.0
강남구립역삼푸른솔도서관,202011,역삼1동,3334.0
강남구립역삼푸른솔도서관,202012,역삼1동,2153.0
강남구립역삼푸른솔도서관,202101,역삼1동,1179.0
강남구립역삼푸른솔도서관,202102,역삼1동,0.0
강남구립역삼푸른솔도서관,202103,역삼1동,0.0
강남구립역삼푸른솔도서관,202104,역삼1동,0.0
강남구립역삼푸른솔도서관,202105,역삼1동,17789.0
강남구립역삼푸른솔도서관,202106,역삼1동,3845.0
강남구립역삼푸른솔도서관,202107,역삼1동,5360.0
강남구립열린도서관,202103,일원본동,0.0
강남구립열린도서관,202104,일원본동,0.0
강남구립열린도서관,202105,일원본동,73895.0
강남구립열린도서관,202106,일원본동,14501.0
강남구립열린도서관,202107,일원본동,20137.0
강남구립정다운도서관,201902,청담동,6224.0
강남구립정다운도서관,201903,청담동,7537.0
강남구립정다운도서관,201904,청담동,7832.0
강남구립정다운도서관,201905,청담동,5760.0
강남구립정다운도서관,201906,청담동,6704.0
강남구립정다운도서관,201907,청담동,0.0
강남구립정다운도서관,201908,청담동,0.0
강남구립정다운도서관,201909,청담동,2428.0
강남구립정다운도서관,201910,청담동,245931.0
강남구립정다운도서관,201911,청담동,8866.0
강남구립정다운도서관,201912,청담동,5925.0
강남구립정다운도서관,202001,청담동,7318.0
강남구립정다운도서관,202002,청담동,1274.0
강남구립정다운도서관,202003,청담동,1226.0
강남구립정다운도서관,202004,청담동,0.0
강남구립정다운도서관,202005,청담동,7.0
강남구립정다운도서관,202006,청담동,2098.0
강남구립정다운도서관,202007,청담동,10243.0
강남구립정다운도서관,202008,청담동,2860.0
강남구립정다운도서관,202009,청담동,2651.0
강남구립정다운도서관,202010,청담동,7700.0
강남구립정다운도서관,202011,청담동,9345.0
강남구립정다운도서관,202012,청담동,3514.0
강남구립정다운도서관,202101,청담동,1408.0
강남구립정다운도서관,202102,청담동,0.0
강남구립정다운도서관,202103,청담동,0.0
강남구립정다운도서관,202104,청담동,0.0
강남구립정다운도서관,202105,청담동,34016.0
강남구립정다운도서관,202106,청담동,6538.0
강남구립정다운도서관,202107,청담동,8797.0
강남구립즐거운도서관,201902,대치4동,5881.0
강남구립즐거운도서관,201903,대치4동,6691.0
강남구립즐거운도서관,201904,대치4동,5559.0
강남구립즐거운도서관,201905,대치4동,4771.0
